station,variable,year,month,month_num,value
Astore,max_temp,2018,August,8,28.3
Astore,max_temp,2018,September,9,24.1
Astore,max_temp,2018,October,10,15.9
Astore,max_temp,2018,November,11,9.1
Astore,max_temp,2018,December,12,5.6
Astore,max_temp,2019,January,1,1.0
Astore,max_temp,2019,February,2,3.7
Astore,max_temp,2019,March,3,8.1
Astore,max_temp,2019,April,4,17.6
Astore,max_temp,2019,May,5,20.0
Astore,max_temp,2019,June,6,21.1
Astore,max_temp,2019,July,7,28.9
Astore,max_temp,2019,August,8,27.6
Astore,max_temp,2019,September,9,27.4
Astore,max_temp,2019,October,10,17.5
Astore,max_temp,2019,November,11,8.0
Astore,max_temp,2019,December,12,2.4
Astore,min_temp,1984,January,1,-7.7
Astore,min_temp,1984,February,2,-5.9
Astore,min_temp,1984,March,3,0.9
Astore,min_temp,1984,April,4,3.7
Astore,min_temp,1984,May,5,7.0
Astore,min_temp,1984,June,6,12.1
Astore,min_temp,1984,July,7,13.8
Astore,min_temp,1984,August,8,16.1
Astore,min_temp,1984,September,9,8.8
Astore,min_temp,1984,October,10,4.2
Astore,min_temp,1984,November,11,-0.4
Astore,min_temp,1984,December,12,-4.2
Astore,min_temp,1985,January,1,-8.0
Astore,min_temp,1985,February,2,-6.1
Astore,min_temp,1985,March,3,1.8
Astore,min_temp,1985,April,4,5.5
Astore,min_temp,1985,May,5,7.2
Astore,min_temp,1985,June,6,10.1
Astore,min_temp,1985,July,7,15.2
Astore,min_temp,1985,August,8,14.9
Astore,min_temp,1985,September,9,10.5
Astore,min_temp,1985,October,10,4.7
Astore,min_temp,1985,November,11,-0.4
Astore,min_temp,1985,December,12,-5.4
Astore,min_temp,1986,January,1,-9.7
Astore,min_temp,1986,February,2,-6.6
Astore,min_temp,1986,March,3,-2.5
Astore,min_temp,1986,April,4,2.9
Astore,min_temp,1986,May,5,6.5
Astore,min_temp,1986,June,6,10.1
Astore,min_temp,1986,July,7,14.1
Astore,min_temp,1986,August,8,13.1
Astore,min_temp,1986,September,9,9.2
Astore,min_temp,1986,October,10,4.6
Astore,min_temp,1986,November,11,-0.4
Astore,min_temp,1986,December,12,-7.1
Astore,min_temp,1987,January,1,-10.4
Astore,min_temp,1987,February,2,-4.0
Astore,min_temp,1987,March,3,0.2
Astore,min_temp,1987,April,4,3.7
Astore,min_temp,1987,May,5,6.2
Astore,min_temp,1987,June,6,8.6
Astore,min_temp,1987,July,7,11.1
Astore,min_temp,1987,August,8,13.8
Astore,min_temp,1987,September,9,10.3
Astore,min_temp,1987,October,10,2.9
Astore,min_temp,1987,November,11,-0.9
Astore,min_temp,1987,December,12,-3.1
Astore,min_temp,1988,January,1,-4.9
Astore,min_temp,1988,February,2,-5.1
Astore,min_temp,1988,March,3,-1.4
Astore,min_temp,1988,April,4,4.1
Astore,min_temp,1988,May,5,8.0
Astore,min_temp,1988,June,6,10.2
Astore,min_temp,1988,July,7,14.8
Astore,min_temp,1988,August,8,13.0
Astore,min_temp,1988,September,9,9.9
Astore,min_temp,1988,October,10,3.4
Astore,min_temp,1988,November,11,-0.4
Astore,min_temp,1988,December,12,-3.4
Astore,min_temp,1989,January,1,-9.5
Astore,min_temp,1989,February,2,-6.4
Astore,min_temp,1989,March,3,-0.8
Astore,min_temp,1989,April,4,1.4
Astore,min_temp,1989,May,5,5.0
Astore,min_temp,1989,June,6,9.2
Astore,min_temp,1989,July,7,11.6
Astore,min_temp,1989,August,8,11.6
Astore,min_temp,1989,September,9,8.7
Astore,min_temp,1989,October,10,3.1
Astore,min_temp,1989,November,11,-2.0
Astore,min_temp,1989,December,12,-3.6
Astore,min_temp,1990,January,1,-4.1
Astore,min_temp,1990,February,2,-6.8
Astore,min_temp,1990,March,3,-4.0
Astore,min_temp,1990,April,4,1.9
Astore,min_temp,1990,May,5,8.3
Astore,min_temp,1990,June,6,10.8
Astore,min_temp,1990,July,7,13.6
Astore,min_temp,1990,August,8,14.3
Astore,min_temp,1990,September,9,10.8
Astore,min_temp,1990,October,10,3.2
Astore,min_temp,1990,November,11,-1.0
Astore,min_temp,1990,December,12,-3.4
Astore,min_temp,1991,January,1,-11.2
Astore,min_temp,1991,February,2,-5.6
Astore,min_temp,1991,March,3,-0.9
Astore,min_temp,1991,April,4,3.3
Astore,min_temp,1991,May,5,6.6
Astore,min_temp,1991,June,6,10.5
Astore,min_temp,1991,July,7,13.2
Astore,min_temp,1991,August,8,13.7
Astore,min_temp,1991,September,9,11.5
Astore,min_temp,1991,October,10,3.9
Astore,min_temp,1991,November,11,-0.6
Astore,min_temp,1991,December,12,-2.0
Astore,min_temp,1992,January,1,-5.3
Astore,min_temp,1992,February,2,-9.0
Astore,min_temp,1992,March,3,-1.7
Astore,min_temp,1992,April,4,3.0
Astore,min_temp,1992,May,5,6.7
Astore,min_temp,1992,June,6,10.4
Astore,min_temp,1992,July,7,14.0
Astore,min_temp,1992,August,8,14.2
Astore,min_temp,1992,September,9,9.5
Astore,min_temp,1992,October,10,4.5
Astore,min_temp,1992,November,11,0.3
Astore,min_temp,1992,December,12,-2.5
Astore,min_temp,1993,January,1,-8.2
Astore,min_temp,1993,February,2,-2.0
Astore,min_temp,1993,March,3,-2.1
Astore,min_temp,1993,April,4,4.7
Astore,min_temp,1993,May,5,8.7
Astore,min_temp,1993,June,6,10.6
Astore,min_temp,1993,July,7,12.8
Astore,min_temp,1993,August,8,12.8
Astore,min_temp,1993,September,9,11.2
Astore,min_temp,1993,October,10,4.0
Astore,min_temp,1993,November,11,-0.4
Astore,min_temp,1993,December,12,-3.0
Astore,min_temp,1994,January,1,-5.8
Astore,min_temp,1994,February,2,-4.9
Astore,min_temp,1994,March,3,0.0
Astore,min_temp,1994,April,4,2.2
Astore,min_temp,1994,May,5,8.1
Astore,min_temp,1994,June,6,11.2
Astore,min_temp,1994,July,7,16.6
Astore,min_temp,1994,August,8,16.5
Astore,min_temp,1994,September,9,9.6
Astore,min_temp,1994,October,10,4.3
Astore,min_temp,1994,November,11,0.1
Astore,min_temp,1994,December,12,-6.7
Astore,min_temp,1995,January,1,-12.1
Astore,min_temp,1995,February,2,-6.8
Astore,min_temp,1995,March,3,-1.2
Astore,min_temp,1995,April,4,3.4
Astore,min_temp,1995,May,5,8.0
Astore,min_temp,1995,June,6,10.8
Astore,min_temp,1995,July,7,14.4
Astore,min_temp,1995,August,8,14.6
Astore,min_temp,1995,September,9,10.1
Astore,min_temp,1995,October,10,4.9
Astore,min_temp,1995,November,11,-0.4
Astore,min_temp,1995,December,12,-5.9
Astore,min_temp,1996,January,1,-9.5
Astore,min_temp,1996,February,2,-4.5
Astore,min_temp,1996,March,3,0.3
Astore,min_temp,1996,April,4,3.1
Astore,min_temp,1996,May,5,5.8
Astore,min_temp,1996,June,6,11.0
Astore,min_temp,1996,July,7,12.8
Astore,min_temp,1996,August,8,14.5
Astore,min_temp,1996,September,9,11.4
Astore,min_temp,1996,October,10,3.7
Astore,min_temp,1996,November,11,-0.9
Astore,min_temp,1996,December,12,-5.9
Astore,min_temp,1997,January,1,-5.9
Astore,min_temp,1997,February,2,-5.4
Astore,min_temp,1997,March,3,-0.4
Astore,min_temp,1997,April,4,4.9
Astore,min_temp,1997,May,5,7.2
Astore,min_temp,1997,June,6,11.5
Astore,min_temp,1997,July,7,15.4
Astore,min_temp,1997,August,8,13.1
Astore,min_temp,1997,September,9,10.7
Astore,min_temp,1997,October,10,5.0
Astore,min_temp,1997,November,11,-0.3
Astore,min_temp,1997,December,12,-3.8
Astore,min_temp,1998,January,1,-6.7
Astore,min_temp,1998,February,2,-5.1
Astore,min_temp,1998,March,3,-1.0
Astore,min_temp,1998,April,4,5.2
Astore,min_temp,1998,May,5,8.3
Astore,min_temp,1998,June,6,10.4
Astore,min_temp,1998,July,7,14.8
Astore,min_temp,1998,August,8,14.9
Astore,min_temp,1998,September,9,11.5
Astore,min_temp,1998,October,10,6.5
Astore,min_temp,1998,November,11,0.9
Astore,min_temp,1998,December,12,-2.7
Astore,min_temp,1999,January,1,-4.8
Astore,min_temp,1999,February,2,-2.3
Astore,min_temp,1999,March,3,-0.4
Astore,min_temp,1999,April,4,4.2
Astore,min_temp,1999,May,5,8.4
Astore,min_temp,1999,June,6,11.1
Astore,min_temp,1999,July,7,14.6
